@T,table
Created,2018-05-08 10:50
Author,HortonMachine library
@H,timestamp,value_1152,value_1025,value_1284,value_90631,value_90249,value_90250,value_90258,value_90130,value_90133,value_90267,value_90266,value_90138,value_90269,value_1311,value_90273,value_90275,value_90147,value_90533,value_90532,value_90534,value_90155,value_90290,value_1332,value_90294,value_90166,value_90168,value_90298,value_90172,value_90175,value_1343,value_90182,value_90189,value_90192,value_90066,value_90196,value_90072,value_90459,value_90458,value_90202,value_90074,value_90204,value_90337,value_90208,value_90467,value_90211,value_1123,value_90216,value_90219,value_1131,value_1261,value_1262,value_90225,value_1008,value_1010,value_90354,value_90226,value_1270,value_90230,value_90233,value_90232,value_1274,value_1146,value_90236,value_90239
ID,,1152,1025,1284,90631,90249,90250,90258,90130,90133,90267,90266,90138,90269,1311,90273,90275,90147,90533,90532,90534,90155,90290,1332,90294,90166,90168,90298,90172,90175,1343,90182,90189,90192,90066,90196,90072,90459,90458,90202,90074,90204,90337,90208,90467,90211,1123,90216,90219,1131,1261,1262,90225,1008,1010,90354,90226,1270,90230,90233,90232,1274,1146,90236,90239
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008-06-29 18:00,4.818771551499647,0.022897166604832826,0.821851963938532,0.7174775732029296,0.17722911962847618,0.15970683621686207,0.21008620262628208,4.36380701214113,2.7104316872796685,0.4180408971014713,0.1788267456135137,4.774952294805532,0.7876979293872387,0.0318586671468096,1.81933781072947,1.0354974857387194,5.483463342026078,1.3910075430183766,1.6547723561583112,0.8366425567730439,4.76468125469197,0.08038607554025498,1.7576180658205898,1.028308339349837,0.021715045899734546,0.029980877543330647,0.5883396089724591,0.018356455220118275,0.0,0.8448072882566338,0.0,0.0,0.12389387244652927,4.612541503653583,0.0,3.8582116565527778,1.064085489718956,0.30194713163803666,0.1517914257315797,4.255139011661469,0.11402257070572049,1.4541437119280238,0.07402556964063589,0.6556618296937663,0.08234833625789177,1.1013444652283382,0.08555941170232223,0.052354291775362286,0.08172943126153147,1.5872871899081746,0.23838198683513545,0.03006294547622762,-0.9739037038221627,0.2383363648091011,1.627645380940769,0.9612345762474699,0.06418412032725085,0.08168137442368328,0.18916168158916621,0.2175826055387591,0.019707988347373657,0.05243587455212771,0.9880180683774313,1.256211954551682
,2008-06-29 19:00,3.5015630656959713,3.126010282847256,2.0814681433435975,0.7574013893102456,-0.20799844916503987,0.4629587510157781,1.4060570930757035,3.0881332165573196,2.751796448442269,0.16466204630194844,0.19306822696123394,4.06501913153434,0.18708127395472124,1.7978363184530526,0.1488430855213266,0.15789337863534975,3.6883715574382325,0.9447172013176769,0.743216132136194,0.6928115002031618,3.7091100344248913,0.18393226765811588,0.20190013951125205,0.43723619186232604,2.566510574888205,2.687308852548882,0.14176975971974223,0.6650208841398716,2.3673122143659064,0.6884464657497618,1.8111276751408951,0.933260056727669,0.21696039303275977,3.098370782889772,0.4949717795171906,2.0910709228149336,0.21346001046862512,0.7217075236066086,0.3684994794680152,3.5445347465261055,0.30083212435309165,0.14799980222417092,1.806476537065184,0.11855979185284135,1.9785866013329343,0.31183262233578996,0.9996817485029824,1.6086968563547848,1.987766998533429,1.3791749943561689,1.4037770287998586,1.2537120248266453,0.0761921890718735,0.44265837655352247,0.2502378125828292,0.5088742253493082,1.390282862749258,1.6084495960323304,0.40328711633993425,0.34000867955692626,3.8290621199994495,1.329931835085909,1.3384747915764088,1.5373383226802493
,2008-06-29 20:00,0.7597028845597059,6.556274191068926,0.2504355631653205,0.47446737443211906,-1.132686526169541,0.35559013715885796,0.2977134830338533,0.5669583938939111,0.7486285393037011,0.28351145159299473,0.1593629120059887,0.8548043668802232,0.38549550223979057,2.104494422624284,0.6140863947832907,0.6081307754310654,0.8487004982289398,0.4363046828765793,0.49601590873646734,0.49659256131605695,0.8101216814626688,0.38022155907584576,0.6136766143350323,0.3756456242419679,7.121833140526453,6.607734998378932,0.4018027424922623,3.961890335451085,5.588877006875833,0.49839534271255365,4.426623308159909,4.105963041054156,2.2509050172395106,0.5792278650805364,4.378338062137705,0.7740814817919845,0.6389668766487857,0.13448030891010782,2.061229481048758,0.5867635595324483,2.7169397691330084,0.5780063911014266,1.2131865294403439,0.3676274583826051,4.238568725873985,0.47227391700845717,0.6376202667780848,0.3464688063402501,4.231442484108513,0.4282687071893847,0.5303189294967154,2.0634231120030604,-0.269187865971513,0.5872916755170994,0.6072702158775316,0.15093361282211176,-0.628999340262605,2.8526190375011993,1.1441913805276722,1.4419470781215051,4.739203017798843,0.35088650637583463,0.8630477700988242,0.20541200969578866
,2008-06-29 21:00,-0.09086814574127647,2.1238558599536295,-0.7889582086213718,1.0937589121687596,-1.0521593478928035,2.3145232796132182,2.1756237956991775,0.18563702927576378,0.21970463158141387,1.4128286876377807,0.1792835901138734,-0.08173499672804577,0.7441685959416757,0.38473332277771766,0.8956137092730503,1.0429861208943751,0.4331052377949049,0.41413986837284833,0.36757914238178796,0.9273133380492485,-0.1325513313780597,0.10410433248531427,0.7676744228924061,0.871725078395645,2.3938712724699798,1.7678646186449527,0.6569808038878906,2.665291132574135,0.3906766634287688,0.9280715897669667,2.0742251398016935,4.251496876003165,1.8813975776902996,0.9381708672626335,0.9333165908161447,0.2286735347993304,0.9935891988837859,0.47284031391839626,3.2278923328663085,0.12060853353750747,3.4668422723987398,0.6953366179108,2.334493140882304,0.6086140223753929,2.3087389030537997,0.9375737787025827,1.6007882412659957,1.4075197958477863,2.2874223320287657,2.3891158453121504,1.0118720667123025,4.208679810706064,0.5595540839602813,1.6302389002081725,0.6810449737940043,0.013585942108885755,-0.763599383205973,2.0631696201561924,3.5037530596938824,2.1102822475888603,1.471636090671143,1.419355097068525,1.8658054885404212,0.8430545845931209
,2008-06-29 22:00,-0.11427112930687294,4.008089411893539,-0.24002226222952397,1.6968247499814035,1.5136090616068598,4.116747754642019,3.944959483406606,0.46388518803630047,0.15157520492215526,1.6277013802109703,3.375787896165682,-0.10148056818546741,1.9266854681318457,0.5934843579746043,2.3963012368794123,1.8071775700076458,0.3970666536976791,1.1557720784317076,2.334099301800254,1.2793606261130819,-0.08831441612726684,-0.8690590636981513,2.278892298414389,1.2264732056853842,3.454481574157514,4.213911345228746,1.854050353087354,3.7278050159393734,2.966874089623391,1.2839984207130422,3.2158046436862175,5.353018970028933,3.9688620039987734,1.3239252317309427,3.5438926608639387,0.08548400152846694,1.2877289719600036,2.9189098538190317,4.429837087319887,0.1601239872306871,4.0621889045106885,3.385226851636929,5.113145804113301,3.1277408344319477,5.805117940898503,2.152894303307752,4.490922797925643,1.0700662573340813,5.817413319288507,3.301698485295592,3.3878503817455505,4.746672201676936,-0.6180368647593835,5.092037892916313,0.9295802113607563,0.8076614913792725,-1.3954864311568609,6.797797679288478,4.170749888847365,5.004404065829927,5.037058742403485,0.8299560286554648,4.726547993035674,3.2147568939372935
,2008-06-29 23:00,2.223742072579836,3.34285426875512,4.630832052313305,5.836250703206235,4.286908180946494,5.664759043862639,2.462293312424407,1.2519851768826005,1.767148293432415,7.27413466083428,4.037062264214054,2.600092018960131,8.618886398048955,1.594026207637753,8.273284457641365,8.721970833869076,2.2133563756601413,5.769916084891344,6.85786088780281,5.910381572090007,2.340541126839451,-0.18737907470991577,8.663374040723367,7.25578832263681,2.645519705871349,2.7845935205233343,8.634363777736848,3.1112155714820444,3.8363521750456275,5.919800524691867,3.6809059162118687,3.0153800526185,2.877282218932664,2.190745967908646,3.521500671655537,2.233407389827934,9.92106716154484,5.1915848586690245,2.1855310230341214,1.4724449490825111,2.758395528486149,9.186997323072136,2.1620654402279,9.200758335416609,2.1791402731814347,7.5313134719525285,3.039495269952507,2.062481073160956,2.167411013807639,2.058333374048758,2.305711208296205,2.7838057129430474,0.9461524192042639,3.945334024918641,6.699048104592715,-0.3747751902099042,1.5552807991236577,2.223125394457314,1.6905365156293786,2.120698842210828,2.8494791659806697,1.895914092806655,1.8122927284430828,2.917564385535467
,2008-06-30 00:00,8.137720551915239,1.6323494726238612,2.9486535895360024,5.7488497372242415,4.311169290582673,5.333969920516164,5.2766889899570355,7.711877518783753,6.275428007791391,5.589252666482105,3.705699871062219,7.604391873861523,5.923505532103453,1.909073065605058,5.218506687007146,5.221047935382343,6.234855824809027,3.704759460334797,3.7348263028268933,5.6096101321504905,7.230492796196947,2.491795420079341,4.879633474696581,5.713652542339619,2.031775363639634,2.2758711894908306,3.8969243610201847,2.3248077430264207,1.1935384459301428,5.614075333873881,1.6811378259979692,2.599947870732443,3.2321667572661217,4.5783936351624535,1.710056646232794,4.940742492044025,5.117627557070591,4.434425947283894,3.9232011580092943,7.8605104157988315,3.5502438607905233,4.345274179414326,4.411383084766829,5.277794473824242,3.6131420315088376,6.336378847485102,4.088956254271325,3.2940702813407245,3.6882213396441617,0.06278875223446184,4.731912259989146,4.273575103836682,3.024778715549754,6.085954946342446,4.484316409350265,-0.9895942247100764,2.6210583543676886,3.7671598606074364,4.356586587931261,4.065432926916083,2.589712947907391,3.1186807672743444,4.423938003780613,6.061567632896662
,2008-06-30 01:00,3.1692731440255506,5.798990325961925,5.377419799042216,4.743577653369853,0.8066238455195698,4.12637837016602,6.785772150850137,3.3938858286609537,2.943390179943775,1.607660897444697,2.62651744807817,3.437147992595975,1.9694532379670018,6.0445800909781005,4.0185105781059915,1.9074987724731607,3.0246801109447228,5.436284292077995,4.895608486934497,4.033173857762416,3.1896941526761813,0.8100297413579295,4.063698385564679,2.2707901975616442,5.669780259368219,5.612063376744299,1.5481082855177772,6.067472597237016,4.362642104770291,4.0253325604819885,5.525142627162903,6.512369415624506,5.526165794499519,3.2278847307963696,4.132501454481822,2.5379667685665623,2.3507253470417933,4.720059403292665,5.953615383804481,3.086928578790947,5.644134189325779,1.6735626953316443,6.009468859407496,1.4753391126891697,6.494341889425458,2.360771993020498,6.288989017655956,6.747695075332494,6.496236710877738,3.5800377074127088,6.284706703367981,6.240809942724207,0.7235629034006027,3.9492065844320003,3.2093167372240163,0.9680486012690858,6.106668935159989,6.35221206409836,5.71148151823723,6.038235146740425,5.879424904585549,6.238211309273824,5.680829219725168,4.485766933698976
,2008-06-30 02:00,0.8121660789729455,3.669381064922407,3.1437470157786835,1.9941593534601878,1.5386922360996835,1.8806931719574373,2.529714797653443,1.1987718433687782,0.6374550629864577,0.927965276022288,0.6712135011623389,0.9125873075860115,1.131376829472046,4.014687688076088,1.9755840373839169,1.02403348103281,0.6562327871213491,2.658287583712464,2.185450223394808,1.7475905373440725,0.8769952262489317,0.8261352044702279,1.8677679922548704,0.9886502509096058,3.5710085884564915,3.745765236717822,0.662148607364094,2.940414138798048,3.113762261511761,1.7430836140181118,2.9862327117939103,2.5365102231068484,2.1360876816943755,0.6477799673956054,2.4309315988725433,0.3752879672933429,1.4022791646908825,1.993046448509525,2.341352474312721,0.6962178480452103,2.386871460668889,0.7065831083785181,2.748708694503381,0.6830536279531987,2.110443232870812,0.8748149086876967,3.1224941883449997,3.03361831725483,2.1077851083412877,0.7577735769225808,2.669569736731663,1.7403998257106044,0.906600375112027,1.9706364226150583,1.2702223186851131,0.7109724676845846,3.1572166579835437,2.1486201987968734,2.2193214038113815,2.402449324429289,3.5469077029210205,2.934794579819835,2.0739216419909225,1.7171427896877411
,2008-06-30 03:00,-0.003280166884187842,1.0743879309434703,1.0087742000560151,0.6546986671362024,0.27673136376803364,0.7622041880551436,1.1182686171211726,0.14346647456580355,0.021539071751646946,0.20885306679075508,0.2559956914839388,-0.009610004795032996,0.1807690967546913,1.1452629477039835,0.3719141741665635,0.15352557355642302,0.05297089189107169,0.5934225303848824,0.47337127130038986,0.4696546021982912,-0.005748090966031672,-0.0714320075188777,0.3666096532355671,0.17982783624019882,1.2163520344520466,1.2142836724059833,0.09940583462787031,1.0026867770649917,0.8671024281618841,0.4673643339632144,1.0262469747511327,1.2025943657365037,1.0168911386556472,0.180631033562645,0.9872220652286885,0.019063534843493123,0.22819464344420798,0.4347152309459833,1.0140795024243396,0.013010875232444073,1.0804931166196123,0.013747577721027898,1.1698242075496683,0.05034889010847236,1.0371893350336026,0.1387459298041637,1.0901004560328946,1.1566336398380326,1.03638940034874,0.4231832771039642,1.1879568174268795,1.0136541671820567,0.18412251699226567,0.745060291023196,0.26417446798905336,0.18778728630200556,1.5211883563869468,1.0134221060236372,0.8385856583362212,0.9544303456854921,1.1955550563667305,1.0527733551072898,0.8278427245659253,0.6063784166438919
,2008-06-30 04:00,0.0,0.49014841001867365,0.6130816407157472,0.20589849675038022,-0.039627288832241286,0.08047217273211556,0.34130774736122543,0.0,0.0,0.0,0.07162653754723303,0.0,0.031072317879285306,0.7594748196246887,0.1941289845353968,0.030801050143274316,0.0,0.35002063117458476,0.2822225707794126,0.17670755305346397,0.0,-0.025996637037556024,0.2011425873482946,0.025653125398672712,0.46653187339118823,0.45102513345706496,0.015433397088707317,0.3547994373596154,0.5177571441071253,0.1760740239594873,0.4034853849320848,0.28735828982613904,0.19169031402758024,0.0,0.4645684462081602,0.0,0.08717289064668704,0.2490895195276159,0.10895536389889891,0.0,0.1732149999848222,0.007864701175806545,0.3019765063461744,-0.014109764974909997,0.12575332441823783,0.0439826959049369,0.3759828132456098,0.514898950594491,0.12489929612852177,0.0,0.35708183661970927,0.11339174452316304,0.039634477977741486,0.0,0.10844592820775945,0.0,0.36972637855697277,0.12237689584746625,0.037572603490066345,0.07986222904647991,0.4120856452832612,0.5227344699177324,0.03699096983820653,0.021811529858749137

